=== 90 实验最终结果 ===
实验目录名                                     PSNR     SSIM
================================================================================
2026_04_30_pancreas_6views_corgs                   | PSNR=28.83  | SSIM=0.9300
2026_04_30_pancreas_6views_dngaussian              | PSNR=29.19  | SSIM=0.9300
2026_04_30_pancreas_6views_fsgs                    | PSNR=29.58  | SSIM=0.9400
2026_04_30_pancreas_6views_r2_gaussian             | PSNR=33.58  | SSIM=0.9500
2026_04_30_pancreas_6views_spags                   | PSNR=33.10  | SSIM=0.9500
2026_04_30_pancreas_6views_xgaussian               | PSNR=28.98  | SSIM=0.9300
2026_04_30_pancreas_9views_corgs                   | PSNR=30.31  | SSIM=0.9500
2026_04_30_pancreas_9views_dngaussian              | PSNR=29.66  | SSIM=0.9400
2026_04_30_pancreas_9views_fsgs                    | PSNR=30.53  | SSIM=0.9500
2026_04_30_pancreas_9views_r2_gaussian             | PSNR=35.68  | SSIM=0.9600
2026_04_30_pancreas_9views_spags                   | PSNR=35.70  | SSIM=0.9600
2026_04_30_pancreas_9views_xgaussian               | PSNR=30.12  | SSIM=0.9400


=== 按方法平均 PSNR ===
  R²-Gaussian       : avg=32.39dB (n=15)
  SPAGS             : avg=31.92dB (n=15)
  X-Gaussian        : avg=27.34dB (n=15)
  FSGS              : avg=27.51dB (n=15)
  CoR-GS            : avg=27.14dB (n=15)
  DN-Gaussian       : avg=23.88dB (n=15)
